#lambda[A]	Flux[microJy]
3.681e+03	2.904e-11
3.681e+03	4.788e-11
3.681e+03	7.814e-11
3.681e+03	1.262e-10
3.681e+03	2.018e-10
3.681e+03	3.194e-10
3.682e+03	5.004e-10
3.682e+03	7.760e-10
3.682e+03	1.191e-09
3.682e+03	1.810e-09
3.682e+03	2.722e-09
3.682e+03	4.052e-09
3.682e+03	5.972e-09
3.682e+03	8.710e-09
3.682e+03	1.258e-08
3.682e+03	1.797e-08
3.682e+03	2.543e-08
3.682e+03	3.561e-08
3.682e+03	4.936e-08
3.682e+03	6.772e-08
3.682e+03	9.197e-08
3.682e+03	1.236e-07
3.682e+03	1.645e-07
3.682e+03	2.167e-07
3.682e+03	2.825e-07
3.682e+03	3.646e-07
3.682e+03	4.658e-07
3.682e+03	5.890e-07
3.682e+03	7.372e-07
3.682e+03	9.133e-07
3.682e+03	1.120e-06
3.682e+03	1.360e-06
3.682e+03	1.634e-06
3.683e+03	1.943e-06
3.683e+03	2.288e-06
3.683e+03	2.666e-06
3.683e+03	3.076e-06
3.683e+03	3.512e-06
3.683e+03	3.969e-06
3.683e+03	4.441e-06
3.683e+03	4.918e-06
3.683e+03	5.391e-06
3.683e+03	5.849e-06
3.683e+03	6.282e-06
3.683e+03	6.679e-06
3.683e+03	7.028e-06
3.683e+03	7.321e-06
3.683e+03	7.549e-06
3.683e+03	7.704e-06
3.683e+03	7.783e-06
3.683e+03	7.783e-06
3.683e+03	7.704e-06
3.683e+03	7.549e-06
3.683e+03	7.321e-06
3.683e+03	7.028e-06
3.683e+03	6.679e-06
3.683e+03	6.282e-06
3.683e+03	5.849e-06
3.683e+03	5.391e-06
3.683e+03	4.918e-06
3.684e+03	4.441e-06
3.684e+03	3.969e-06
3.684e+03	3.512e-06
3.684e+03	3.076e-06
3.684e+03	2.666e-06
3.684e+03	2.288e-06
3.684e+03	1.943e-06
3.684e+03	1.634e-06
3.684e+03	1.360e-06
3.684e+03	1.120e-06
3.684e+03	9.133e-07
3.684e+03	7.372e-07
3.684e+03	5.890e-07
3.684e+03	4.658e-07
3.684e+03	3.646e-07
3.684e+03	2.825e-07
3.684e+03	2.167e-07
3.684e+03	1.645e-07
3.684e+03	1.236e-07
3.684e+03	9.197e-08
3.684e+03	6.772e-08
3.684e+03	4.936e-08
3.684e+03	3.561e-08
3.684e+03	2.543e-08
3.684e+03	1.797e-08
3.684e+03	1.258e-08
3.684e+03	8.710e-09
3.685e+03	5.972e-09
3.685e+03	4.052e-09
3.685e+03	2.722e-09
3.685e+03	1.810e-09
3.685e+03	1.191e-09
3.685e+03	7.760e-10
3.685e+03	5.004e-10
3.685e+03	3.194e-10
3.685e+03	2.018e-10
3.685e+03	1.262e-10
3.685e+03	7.814e-11
3.685e+03	4.788e-11
3.685e+03	2.904e-11
3.710e+03	6.989e-11
3.710e+03	1.152e-10
3.711e+03	1.880e-10
3.711e+03	3.037e-10
3.711e+03	4.856e-10
3.711e+03	7.686e-10
3.711e+03	1.204e-09
3.711e+03	1.867e-09
3.711e+03	2.866e-09
3.711e+03	4.355e-09
3.711e+03	6.550e-09
3.711e+03	9.751e-09
3.711e+03	1.437e-08
3.711e+03	2.096e-08
3.711e+03	3.026e-08
3.711e+03	4.325e-08
3.711e+03	6.119e-08
3.711e+03	8.568e-08
3.711e+03	1.188e-07
3.711e+03	1.629e-07
3.711e+03	2.213e-07
3.711e+03	2.975e-07
3.711e+03	3.959e-07
3.711e+03	5.214e-07
3.711e+03	6.798e-07
3.711e+03	8.774e-07
3.711e+03	1.121e-06
3.711e+03	1.417e-06
3.711e+03	1.774e-06
3.712e+03	2.198e-06
3.712e+03	2.695e-06
3.712e+03	3.272e-06
3.712e+03	3.931e-06
3.712e+03	4.676e-06
3.712e+03	5.505e-06
3.712e+03	6.416e-06
3.712e+03	7.401e-06
3.712e+03	8.451e-06
3.712e+03	9.551e-06
3.712e+03	1.069e-05
3.712e+03	1.183e-05
3.712e+03	1.297e-05
3.712e+03	1.407e-05
3.712e+03	1.512e-05
3.712e+03	1.607e-05
3.712e+03	1.691e-05
3.712e+03	1.762e-05
3.712e+03	1.816e-05
3.712e+03	1.854e-05
3.712e+03	1.873e-05
3.712e+03	1.873e-05
3.712e+03	1.854e-05
3.712e+03	1.816e-05
3.712e+03	1.762e-05
3.712e+03	1.691e-05
3.713e+03	1.607e-05
3.713e+03	1.512e-05
3.713e+03	1.407e-05
3.713e+03	1.297e-05
3.713e+03	1.183e-05
3.713e+03	1.069e-05
3.713e+03	9.551e-06
3.713e+03	8.451e-06
3.713e+03	7.401e-06
3.713e+03	6.416e-06
3.713e+03	5.505e-06
3.713e+03	4.676e-06
3.713e+03	3.931e-06
3.713e+03	3.272e-06
3.713e+03	2.695e-06
3.713e+03	2.198e-06
3.713e+03	1.774e-06
3.713e+03	1.417e-06
3.713e+03	1.121e-06
3.713e+03	8.774e-07
3.713e+03	6.798e-07
3.713e+03	5.214e-07
3.713e+03	3.959e-07
3.713e+03	2.975e-07
3.713e+03	2.213e-07
3.713e+03	1.629e-07
3.713e+03	1.188e-07
3.714e+03	8.568e-08
3.714e+03	6.119e-08
3.714e+03	4.325e-08
3.714e+03	3.026e-08
3.714e+03	2.096e-08
3.714e+03	1.437e-08
